"","symbol","week52change","week52high","week52low","marketcap","employees","day200MovingAvg","day50MovingAvg","float","avg10Volume","avg30Volume","ttmEPS","ttmDividendRate","companyName","sharesOutstanding","maxChangePercent","year5ChangePercent","year2ChangePercent","year1ChangePercent","ytdChangePercent","month6ChangePercent","month3ChangePercent","month1ChangePercent","day30ChangePercent","day5ChangePercent","dividendYield","nextEarningsDate","exDividendDate","peRatio","beta","nextDividendDate"
"1290","AIZ",0.208273,126.48,82.31,7678053600,14750,102.28,117.85,60488574.321,540448.8,625008.57,5.89,2.36,"Assurant, Inc.",61131000,2.804049,0.416767,-0.107692,0.208273,0.394007,0.259779,0.17636,0.014622,0.161457,0.014949,0.0187898089171975,"2019-10-30","2019-08-23",21.32,0.75763604352646,NA
"1291","AIZP",0.123715,125.07,93.09,7618145220,NA,108.63,119.87,NA,63715.4,41960.73,NA,NA,"Assurant, Inc.",0,0.021372,0.021372,0.021372,0.123715,0.256378,0.168605,0.110398,0.003867,0.095528,0.00866,NA,NA,NA,NA,0.357823955070429,NA
"1292","AGO",0.11753,47.97,36.13,4448796602,312,42.68,43.8,95430586.1026,581221.6,591426.67,4.2454,0.68,"Assured Guaranty Ltd.",98708600,1.627778,0.972477,0.194143,0.11753,0.173392,-0.001772,0.057981,-0.014433,0.0754,0.001778,0.0150876414466386,"2019-11-11","2019-08-20",10.62,0.806430311214185,NA
"1293","AZN",0.131789,45.69,35.3,NA,64400,40.25,43.24,2623497624,3519711.7,3284554,0.8608,1.37,"AstraZeneca Plc",NA,1.172189,-0.020684,0.268607,0.131789,0.124603,-0.001644,0.063282,-0.042999,-0.024105,-0.017564,0.0322277111267937,"2019-10-24","2019-08-08",49.38,0.428506030530653,NA
"1294","HOME",-0.708809,33.97,4.58,588876820,5364,16.38,6.3,52465336.294,5465422,4005088.3,1.0205,NA,"At Home Group, Inc.",64078000,0.52,0.52,0.237113,-0.708809,-0.517078,-0.587892,0.179718,0.695572,0.743833,0.073598,NA,"2019-12-05",NA,9.01,1.53364182831894,NA
"1295","T",0.109756,38.75,26.8,272624170000,268000,31.91,34.71,7301081330,44434880,33249328.87,2.3858,2.03,"AT&T, Inc.",7.307e+09,0.209091,-0.144575,-0.206897,0.109756,0.263033,0.211364,0.155108,0.054551,0.114064,-0.007185,0.0544090056285178,"2019-10-23","2019-07-09",15.64,0.677735274569527,NA
"1296","TBB",0.050261,27.09,21.86,190858840000,NA,25.16,26.52,NA,100154.9,129859.7,NA,NA,"AT&T, Inc.",0,0,0,0,0.050261,0.153201,0.043131,0.012403,-0.017306,-0.00948,-0.018783,NA,NA,NA,NA,0.0989165266129822,NA
"1297","TBC",0.085312,27.66,22.56,197069790000,NA,25.56,27.07,NA,86921.5,98168.1,NA,NA,"AT&T, Inc.",0,0.034968,0.034968,0.034968,0.085312,0.145223,0.070238,0.033729,-0.011001,0.011628,-0.006955,NA,NA,NA,NA,0.0965130609166778,NA
"1298","ATTO",-0.607843,8.3,2.1,222900600,153345,3.29,2.38,25779420.2926,84660.2,76435.2,-0.4770373,NA,"Atento SA",74300200,-0.710648,-0.710648,-0.619289,-0.607843,-0.28401,-0.232737,0.25,0.327434,0.293103,0.107011,NA,"2019-11-22","2017-11-09",-6.29,0.739061871581965,NA
"1299","ATH",-0.162495,53.92,36,8030967640,1275,42.14,40.49,145509842.96,1240571.1,1273048.97,10.1311,NA,"Athene Holding Ltd.",153008000,0.040863,0.040863,-0.152339,-0.162495,0.056748,-0.022369,-0.009711,0.086504,0.10018,0.034791,NA,"2019-11-06",NA,4.23,1.06100130916058,NA
