"","Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Ex","Company","City","State","BreachType","TotalRecords","BreachYear","Latitude","Longitude","CompanyName"
"3624","EQH","AXA Equitable Holdings, Inc.",3197,"$10.2B","2018","Finance","Specialty Insurers","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3625","AXTA","Axalta Coating Systems Ltd.",3533,"$6.74B","2014","Basic Industries","Paints/Coatings","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3626","AXS","Axis Capital Holdings Limited",2326,"$5.15B","2003","Finance","Property-Casualty Insurers","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3627","AX","Axos Financial, Inc.",3388,"$1.58B","2018","Finance","Savings Institutions","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3628","AZUL","Azul S.A.",3652,"$3.97B","2017","Transportation","Air Freight/Delivery Services","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3629","AZRE","Azure Power Global Limited",456,"$451.55M","2016","Public Utilities","Electric Utilities: Central","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3630","AZZ","AZZ Inc.",3753,"$1.08B","n/a","Consumer Durables","Building Products","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3631","BGS","B&G Foods, Inc.",3058,"$1.11B","n/a","Consumer Non-Durables","Packaged Foods","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3632","BRPM","B. Riley Principal Merger Corp.",4278,"$181.18M","2019","Finance","Business Services","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3633","BW","Babcock",1589,"$170.29M","2015","Capital Goods","Building Products","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3634","BGH","Babson Global Short Duration High Yield Fund",860,"$349.01M","2012","n/a","n/a","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3635","BMI","Badger Meter, Inc.",3903,"$1.5B","n/a","Capital Goods","Industrial Machinery/Components","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
